anime_id,anime_name,recommendation_count
1,Cowboy Bebop,5084
5,Cowboy Bebop: Tengoku no Tobira,2307
6,Trigun,3953
7,Witch Hunter Robin,5
15,Eyeshield 21,11
16,Hachimitsu to Clover,119
19,Monster,232
20,Naruto,5648
22,Prince of Tennis,19
24,School Rumble,1222
27,Trinity Blood,151
30,Neon Genesis Evangelion,1744
31,Neon Genesis Evangelion: Death &amp; Rebirth,1315
32,Neon Genesis Evangelion: The End of Evangelion,2760
33,Berserk,1203
43,Ghost in the Shell,2167
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,704
45,Rurouni Kenshin: Meiji Kenkaku Romantan,2287
47,Akira,2856
48,.hack//Sign,39
49,Aa! Megami-sama!,2
50,Aa! Megami-sama! (TV),155
52,Kidou Tenshi Angelic Layer,1
53,Ai Yori Aoshi,52
54,Appleseed (Movie),19
57,Beck,442
59,Chobits,2580
60,Chrno Crusade,311
61,D.N.Angel,307
62,D.C.: Da Capo,2
63,DearS,161
64,Rozen Maiden,192
65,Rozen Maiden: Träumend,41
66,Azumanga Daioh,778
67,Basilisk: Kouga Ninpou Chou,8
68,Black Cat,191
71,Full Metal Panic!,1821
72,Full Metal Panic? Fumoffu,1774
73,Full Metal Panic! The Second Raid,1433
76,Mahou Shoujo Lyrical Nanoha,9
77,Mahou Shoujo Lyrical Nanoha A&#039;s,9
79,Shuffle!,530
80,Mobile Suit Gundam,21
81,Mobile Suit Gundam: The 08th MS Team,52
85,Mobile Suit Zeta Gundam,2
90,Mobile Suit Gundam Wing,383
91,Mobile Suit Gundam Wing: Endless Waltz,1
93,Mobile Suit Gundam Seed,474
94,Mobile Suit Gundam Seed Destiny,218
96,Mobile Fighter G Gundam,6
97,Last Exile,67
98,Mai-HiME,44
99,Mai-Otome,1
101,Air,1413
102,Aishiteruze Baby★★,4
114,Sakigake!! Cromartie Koukou,2
120,Fruits Basket,4511
121,Fullmetal Alchemist,5428
123,Fushigi Yuugi,4
132,GetBackers,3
133,Green Green,133
134,Gunslinger Girl,44
135,Hikaru no Go,3
136,Hunter x Hunter,723
137,Hunter x Hunter OVA,86
138,Hunter x Hunter: Greed Island,136
139,Hunter x Hunter: Greed Island Final,131
145,Kareshi Kanojo no Jijou,8
147,Kimi ga Nozomu Eien,89
149,Loveless,893
150,Blood+,653
154,Shaman King,370
157,Mahou Sensei Negima!,16
164,Mononoke Hime,5168
165,RahXephon,6
166,Samurai 7,11
168,s.CRY.ed,2
169,Shingetsutan Tsukihime,46
170,Slam Dunk,46
174,Tenjou Tenge,93
177,Tsubasa Chronicle,383
180,Vandread,9
181,Vandread: The Second Stage,6
182,Tenkuu no Escaflowne,90
185,Initial D First Stage,18
186,Initial D Second Stage,5
187,Initial D Third Stage,2
189,Love Hina,765
190,Love Hina Again,196
191,Love Hina Christmas Special: Silent Eve,91
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,55
193,Maburaho,35
194,Macross Zero,1
195,Onegai☆Teacher,375
196,Onegai☆Twins,121
199,Sen to Chihiro no Kamikakushi,3414
202,Wolf&#039;s Rain,318
205,Samurai Champloo,5356
208,R.O.D OVA,15
209,R.O.D the TV,1
210,Ranma ½,4
223,Dragon Ball,3822
225,Dragon Ball GT,2661
226,Elfen Lied,8901
227,FLCL,4792
228,Jigoku Shoujo,177
232,Cardcaptor Sakura,2125
237,Eureka Seven,1056
239,Gankutsuou,5
240,Genshiken,89
241,Girls Bravo: First Season,80
243,Gravitation,784
245,Great Teacher Onizuka,2171
248,Ichigo 100%,31
249,InuYasha,2570
251,Kyou kara Maou!,1
256,Hoshi no Koe,109
257,Ikkitousen,16
263,Hajime no Ippo,845
264,Hajime no Ippo: Champion Road,209
265,Hajime no Ippo: Mashiba vs. Kimura,104
267,Gungrave,44
268,Golden Boy,274
269,Bleach,3699
270,Hellsing,4263
272,Noir,1
288,Bakuten Shoot Beyblade,9
304,Aa! Megami-sama! Movie,2
317,Final Fantasy VII: Advent Children,1792
322,Paradise Kiss,233
323,Mousou Dairinin,164
325,Peach Girl,4
329,Planetes,15
330,Midori no Hibi,88
339,Serial Experiments Lain,740
355,Shakugan no Shana,2073
356,Fate/stay night,2911
357,Bokusatsu Tenshi Dokuro-chan,172
371,Cardcaptor Sakura Movie 1,368
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,593
376,Elfen Lied Special,1029
379,Heppoko Jikken Animation Excel♥Saga,11
384,Gantz,336
387,Haibane Renmei,152
389,Karas,1
390,Suzuka,8
392,Yuu☆Yuu☆Hakusho,1742
393,Escaflowne,2
394,Ai Yori Aoshi: Enishi,5
395,Gantz 2nd Stage,35
400,Seihou Bukyou Outlaw Star,94
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,20
405,Blood: The Last Vampire,55
408,Final Fantasy VII: Last Order,6
412,Kore ga Watashi no Goshujinsama,6
416,Kurenai no Buta,450
430,Fullmetal Alchemist: The Conqueror of Shamballa,4734
431,Howl no Ugoku Shiro,4480
433,"Kumo no Mukou, Yakusoku no Basho",190
437,Perfect Blue,363
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,1641
443,Onegai☆Teacher: Himitsu na Futari,1
449,InuYasha: Guren no Houraijima,74
450,InuYasha: Kagami no Naka no Mugenjo,170
451,InuYasha: Tenka Hadou no Ken,118
452,InuYasha: Toki wo Koeru Omoi,119
457,Mushishi,997
459,One Piece Movie 1,147
460,One Piece Movie 2: Nejimaki-jima no Daibouken,123
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,106
462,One Piece Movie 4: Dead End no Bouken,169
463,One Piece Movie 5: Norowareta Seiken,120
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,160
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,120
466,One Piece: Taose! Kaizoku Ganzack,9
467,Ghost in the Shell: Stand Alone Complex,1453
468,Ghost in the Shell 2: Innocence,388
469,Karin,87
477,Aria The Animation,4
481,Yu☆Gi☆Oh! Duel Monsters,853
482,Yu☆Gi☆Oh!: Duel Monsters GX,14
486,Kino no Tabi: The Beautiful World,45
487,Girls Bravo: Second Season,30
488,Ichigo Mashimaro,2
502,Dragon Ball Movie 1: Shen Long no Densetsu,232
507,Gravitation: Lyrics of Love,13
512,Majo no Takkyuubin,3214
513,Tenkuu no Shiro Laputa,3118
514,Cossette no Shouzou,1
517,School Rumble Ichi Gakki Hoshuu,1
522,Metropolis,2
523,Tonari no Totoro,4537
527,Pokemon,1697
528,Pokemon: Mewtwo no Gyakushuu,756
529,Saishuu Heiki Kanojo,1
530,Bishoujo Senshi Sailor Moon,1124
531,Bishoujo Senshi Sailor Moon R: The Movie,151
532,Bishoujo Senshi Sailor Moon S,608
534,Slayers,88
535,Slayers Next,16
543,Vampire Hunter D (2000),206
550,Yu☆Gi☆Oh!,105
552,Digimon Adventure,2350
553,Yami no Matsuei,5
558,Major S2,30
565,Steamboy,3
570,Jin-Rou,17
572,Kaze no Tani no Nausicaä,2715
578,Hotaru no Haka,2643
584,Noein: Mou Hitori no Kimi e,1
585,Mimi wo Sumaseba,918
587,Hanbun no Tsuki ga Noboru Sora,7
591,Amaenaide yo!!,7
594,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,357
597,Neko no Ongaeshi,1163
617,Juubee Ninpuuchou,70
627,Major S1,50
656,Air in Summer,2
710,Rec,16
713,Air Movie,1
719,Ai no Kusabi,1
721,Princess Tutu,1
732,Vampire Hunter D,11
740,Bishoujo Senshi Sailor Moon R,643
741,Sensitive Pornograph,67
746,Papa to Kiss in the Dark,137
747,Haru wo Daite Ita,1
759,Tokyo Godfathers,154
761,Naruto: Akaki Yotsuba no Clover wo Sagase,203
762,Bleach: Memories in the Rain,1000
770,Pale Cocoon,7
777,Hellsing Ultimate,1010
779,Detective Conan Movie 01: The Timed Skyscraper,43
780,Detective Conan Movie 02: The Fourteenth Target,42
781,Detective Conan Movie 03: The Last Wizard of the Century,42
790,Ergo Proxy,1195
793,xxxHOLiC Movie: Manatsu no Yoru no Yume,3
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,533
807,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,1
813,Dragon Ball Z,3224
834,Bleach: The Sealed Sword Frenzy,812
846,School Rumble Ni Gakki,361
849,Suzumiya Haruhi no Yuuutsu,4117
850,Gakuen Heaven,37
853,Ouran Koukou Host Club,7647
856,Utawarerumono,13
857,Air Gear,621
859,Digimon Savers,1
861,xxxHOLiC,278
874,Digimon Tamers,775
877,Nana,1346
880,Aa! Megami-sama!: Sorezore no Tsubasa,5
886,Amaenaide yo!! Katsu!!,1
889,Black Lagoon,2007
891,Dragon Ball Movie 2: Majinjou no Nemuri Hime,153
892,Dragon Ball Movie 3: Makafushigi Daibouken,120
893,Dragon Ball Movie 4: Saikyou e no Michi,178
894,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,251
895,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,224
896,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,242
897,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,175
898,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,183
899,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,190
900,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,201
901,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",199
902,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,239
903,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,231
904,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,139
905,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,319
906,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,311
907,Princess Princess,4
908,Fullmetal Alchemist: Premium Collection,112
918,Gintama,775
934,Higurashi no Naku Koro ni,2295
936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,1341
940,Inukami!,6
949,Top wo Nerae! Gunbuster,1
963,"Love Hina: Motoko no Sentaku, Koi ka Ken... &quot;Naku na&quot;",1
969,Tsubasa Chronicle 2nd Season,80
984,Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,54
985,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,456
986,Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,475
987,Dragon Ball GT: Goku Gaiden! Yuuki no Akashi wa Suushinchuu,187
996,Bishoujo Senshi Sailor Moon: Sailor Stars,436
997,Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,85
1004,Kanojo to Kanojo no Neko,23
1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,171
1030,Heisei Tanuki Gassen Ponpoko,2
1033,Sennen Joyuu,29
1074,Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen taikai Kaisai!!,168
1094,One Piece: Umi no Heso no Daibouken-hen,32
1117,Pokemon: Maboroshi no Pokemon Lugia Bakutan,629
1118,Pokemon: Kesshoutou no Teiou Entei,527
1119,Pokemon: Celebi Toki wo Koeta Deai,426
1120,Pokemon: Mizu no Miyako no Mamorigami Latias to Latios,298
1121,Pokemon Advanced Generation: Nanayo no Negaiboshi Jirachi,216
1122,Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,306
1132,Digimon Frontier,304
1138,Medarot,1
1142,Hachimitsu to Clover II,42
1172,Slayers Try,4
1195,Zero no Tsukaima,745
1210,NHK ni Youkoso!,1697
1218,Tonagura!,1
1222,Bokura ga Ita,433
1237,One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,12
1238,One Piece: Mamore! Saigo no Dai Butai,14
1239,Bishoujo Senshi Sailor Moon SuperS,427
1240,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,61
1250,Erementar Gerad,2
1254,Saint Seiya,95
1292,Afro Samurai,209
1303,The Animatrix,4
1313,Digimon Adventure 02,1324
1361,Final Fantasy: The Spirits Within,14
1363,Detective Conan Movie 04: Captured in Her Eyes,45
1364,Detective Conan Movie 05: Countdown to Heaven,46
1365,Detective Conan Movie 06: The Phantom of Baker Street,47
1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,47
1367,Detective Conan Movie 08: Magician of the Silver Sky,46
1368,Detective Conan OVA 06: Follow the Vanished Diamond! Conan &amp; Heiji vs. Kid!,1
1369,Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,6
1482,D.Gray-man,1606
1498,Black Blood Brothers,8
1505,Detective Conan Movie 09: Strategy Above the Depths,43
1506,Detective Conan Movie 10: Requiem of the Detectives,59
1519,Black Lagoon: The Second Barrage,1897
1525,Pokemon Crystal: Raikou Ikazuchi no Densetsu,1
1526,Pokemon Advanced Generation: Mew to Hadou no Yuusha Lucario,396
1527,Pokemon: Senritsu no Mirage Pokemon,1
1530,Kanon (2006),1971
1532,Suki na Mono wa Suki Dakara Shou ga Nai!!,19
1535,Death Note,2932
1536,Busou Renkin,72
1559,Shijou Saikyou no Deshi Kenichi,333
1562,Yamato Nadeshiko Shichihenge♥,572
1564,Pokemon Advanced Generation,386
1565,Pokemon Diamond &amp; Pearl,42
1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,45
1569,Otome wa Boku ni Koishiteru,1
1571,Ghost Hunt,32
1575,Code Geass: Hangyaku no Lelouch,497
1579,Kiniro no Corda: Primo Passo,121
1594,Jigoku Shoujo Futakomori,6
1604,Katekyo Hitman Reborn!,561
1606,Kekkaishi,1
1669,Bakuten Shoot Beyblade 2002,1
1686,Bleach Movie 1: Memories of Nobody,1092
1689,Byousoku 5 Centimeter,3373
1691,Kaze no Stigma,438
1698,Nodame Cantabile,503
1699,Romeo x Juliet,4
1709,Pokemon: Mewtwo! Ware wa Koko ni Ari,237
1719,Rozen Maiden: Ouvertüre,1
1722,Nagasarete Airantou,6
1723,Clannad Movie,846
1726,Devil May Cry,756
1813,Genshiken OVA,4
1815,Shakugan no Shana Movie,6
1818,Claymore,3112
1827,Seirei no Moribito,19
1829,Gedo Senki,123
1840,Zero no Tsukaima: Futatsuki no Kishi,1096
1842,Major S3,8
1887,Lucky☆Star,3053
1889,Higurashi no Naku Koro ni Kai,2183
1894,Yu☆Gi☆Oh!: Hikari no Pyramid,10
1943,Paprika,982
1953,Code Geass: Hangyaku no Lelouch Picture Drama,73
1965,Sola,21
2001,Tengen Toppa Gurren Lagann,7034
2002,Heroic Age,3
2006,Yu☆Gi☆Oh! (1999),1
2020,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,29
2025,Darker than Black: Kuro no Keiyakusha,2032
2026,Hayate no Gotoku!,84
2034,Lovely★Complex,3215
2104,Seto no Hanayome,247
2107,One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,148
2129,True Tears,209
2131,Bokusatsu Tenshi Dokuro-chan 2,12
2144,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,1189
2148,Okane ga Nai,39
2154,Tekkon Kinkreet,1
2164,Dennou Coil,4
2167,Clannad,924
2171,Detective Conan Movie 11: Jolly Roger in the Deep Azure,32
2201,Pokemon Advanced Generation: Pokemon Ranger to Umi no Ouji Manaphy,129
2236,Toki wo Kakeru Shoujo,3722
2246,Mononoke,4
2248,Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! Special: Konoha Annual Sports Festival,289
2251,Baccano!,3659
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,71
2385,One Piece: Jango no Dance Carnival,67
2386,One Piece: Yume no Soccer Ou!,91
2397,Digimon Adventure: Bokura no War Game!,28
2398,Digimon Adventure 02: Diablomon no Gyakushuu,11
2403,Kodomo no Jikan (TV),6
2404,Zombie-Loan,14
2418,Stranger: Mukou Hadan,199
2472,Naruto: Shippuuden Movie 1,1652
2476,School Days,1243
2490,One Piece: Mezase! Kaizoku Yakyuu Ou,53
2494,Goshuushou-sama Ninomiya-kun,37
2508,Genshiken 2,9
2514,Detective Conan OVA 04: Conan and Kid and Crystal Mother,1
2520,Dragon Ball Specials,5
2581,Mobile Suit Gundam 00,745
2593,Kara no Kyoukai 1: Fukan Fuukei,56
2605,Sayonara Zetsubou Sensei,513
2680,One Piece: Straw Hat Theater,26
2685,Tsubasa: Tokyo Revelations,52
2759,Evangelion: 1.0 You Are (Not) Alone,2347
2787,Shakugan no Shana II (Second),1514
2847,Pokemon Diamond &amp; Pearl: Dialga vs. Palkia vs. Darkrai,197
2889,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,1259
2890,Gake no Ue no Ponyo,2337
2899,Higurashi no Naku Koro ni Special: Nekogoroshi-hen,107
2904,Code Geass: Hangyaku no Lelouch R2,2656
2923,Shugo Chara!,223
2924,ef: A Tale of Memories.,659
2926,Myself; Yourself,200
2927,Kimikiss Pure Rouge,3
2952,Final Fantasy VII: Advent Children Complete,1
2961,Digimon Adventure Movie,320
2963,Minami-ke,143
2966,Ookami to Koushinryou,2351
2986,Bamboo Blade,6
2993,Rosario to Vampire,2482
2994,Death Note Rewrite,279
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,27
3087,Cencoroll,1
3089,The Sky Crawlers,1
3091,xxxHOLiC Kei,75
3092,Junjou Romantica,1236
3167,Eve no Jikan,70
3210,Ikoku Irokoi Romantan,60
3225,Minami-ke Okawari,25
3226,Major S4,1
3228,Zoku Sayonara Zetsubou Sensei,40
3229,Kimi ga Aruji de Shitsuji ga Ore de,47
3230,Druaga no Tou: The Aegis of Uruk,4
3299,H2O: Footprints in the Sand,12
3342,Mnemosyne: Mnemosyne no Musume-tachi,9
3358,Kure-nai,4
3375,Kirepapa.,255
3455,To LOVE-Ru,995
3457,Vampire Knight,5266
3467,Nogizaka Haruka no Himitsu,84
3470,Special A,2459
3503,Kanokon,185
3572,Macross F,182
3588,Soul Eater,8162
3652,Higurashi no Naku Koro ni Rei,965
3655,Nabari no Ou,14
3667,Strike Witches,12
3702,Detroit Metal City,133
3712,Zero no Tsukaima: Princesses no Rondo,1332
3731,Itazura na Kiss,1352
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),67
3783,Kara no Kyoukai 3: Tsuukaku Zanryuu,81
3784,Evangelion: 2.0 You Can (Not) Advance,2427
3785,Evangelion: 3.0 You Can (Not) Redo,1325
3848,"One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",155
3901,Baccano! Specials,353
3927,Mobile Suit Gundam 00 Second Season,596
3958,Kannagi,71
3974,Tetsuwan Birdy Decode,1
4026,Pokemon Diamond &amp; Pearl: Giratina to Sora no Hanataba Sheimi,116
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",3488
4063,Sekirei,933
4081,Natsume Yuujinchou,541
4106,Trigun: Badlands Rumble,2
4107,Tengen Toppa Gurren Lagann Movie: Gurren-hen,66
4134,Naruto Shippuuden: Shippuu! &quot;Konoha Gakuen&quot; Den,85
4155,One Piece Film: Strong World,375
4177,Bounen no Xamdou,8
4181,Clannad: After Story,2383
4182,Darker than Black: Kuro no Keiyakusha Special,422
4186,Chrome Shelled Regios,62
4192,Hayate no Gotoku!!,17
4214,Rosario to Vampire Capu2,1666
4224,Toradora!,7638
4280,Kara no Kyoukai 4: Garan no Dou,143
4282,Kara no Kyoukai 5: Mujun Rasen,313
4382,Suzumiya Haruhi no Yuuutsu (2009),2344
4437,Naruto: Shippuuden Movie 2 - Kizuna,1498
4447,Detective Conan Movie 12: Full Score of Fear,47
4472,Lucky☆Star: Original na Visual to Animation,497
4477,Nodame Cantabile: Paris-hen,103
4550,Hyakko,1
4551,Hakushaku to Yousei,30
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,64
4581,Shikabane Hime: Aka,2
4654,Toaru Majutsu no Index,997
4722,Skip Beat!,2037
4725,Ga-Rei: Zero,96
4744,Akaneiro ni Somaru Saka,74
4752,Vampire Knight Guilty,4115
4789,ef: A Tale of Melodies.,80
4792,Pokemon: Pikachu Tankentai,1
4793,Pokemon: Pichu to Pikachu,16
4814,Junjou Romantica 2,1204
4835,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,1458
4884,Tales of the Abyss,1
4896,Umineko no Naku Koro ni,421
4898,Kuroshitsuji,4862
4901,Black Lagoon: Roberta&#039;s Blood Trail,378
4918,xxxHOLiC Shunmuki,2
4938,Tsubasa: Shunraiki,3
4970,Afro Samurai: Resurrection,1
4975,ChäoS;HEAd,140
4999,Asu no Yoichi!,145
5028,Major S5,1
5030,Maria†Holic,44
5040,One Outs,86
5060,Hetalia Axis Powers,300
5079,Kurokami The Animation,1
5081,Bakemonogatari,677
5112,Akikan!,3
5114,Fullmetal Alchemist: Brotherhood,5491
5118,Suzumiya Haruhi-chan no Yuuutsu,17
5152,Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!,98
5162,Minami-ke Okaeri,12
5177,Denpa-teki na Kanojo,12
5204,Kara no Kyoukai 6: Boukyaku Rokuon,440
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),717
5252,One Piece: Romance Dawn Story,48
5258,Hajime no Ippo: New Challenger,527
5262,Shugo Chara!! Doki,3
5277,Sekirei: Pure Engagement,384
5300,Zoku Natsume Yuujinchou,409
5341,Ookami to Koushinryou II,1488
5342,Asura Cryin&#039;,1
5355,Sengoku Basara,4
5356,Canaan,46
5460,Detective Conan Movie 13: The Raven Chaser,75
5507,Senjou no Valkyria,1
5525,07-Ghost,110
5526,Pokemon: Pikachu no Natsuyasumi,8
5530,Pandora Hearts,610
5593,Dogs: Bullets &amp; Carnage,1
5630,Higashi no Eden,1685
5667,To LOVE-Ru OVA,52
5671,Saki,1
5678,Kobato.,2
5680,K-On!,2806
5681,Summer Wars,1689
5682,Phantom: Requiem for the Phantom,113
5690,Nodame Cantabile Finale,44
5764,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,142
5774,Seitokaichou ni Chuukoku,11
5781,Isekai no Seikishi Monogatari,1
5909,Seitokai no Ichizon,69
5940,Seiken no Blacksmith,7
5958,Sora no Otoshimono,1384
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,130
6033,Dragon Ball Kai,513
6045,Kimi ni Todoke,3043
6114,Rainbow: Nisha Rokubou no Shichinin,16
6115,Lupin III vs. Detective Conan,16
6166,Asobi ni Iku yo!,14
6178,Pokemon Diamond &amp; Pearl: Arceus Choukoku no Jikuu e,67
6201,Princess Lover!,125
6205,Kämpfer,178
6211,Tokyo Magnitude 8.0,27
